item_id_A,item_id_B
373667,111371
283841,104363
284061,97049
2197801,105375
2194605,101439
2196900,952181
2258536,953590
283315,101410
379133,96243
2194273,1086904
2756033,90566
1942013,104914
2071079,1703225
2387025,100389
2387195,102701
1947754,951722
1945567,105610
1916436,953078
2071084,102836
2065368,2026632
1931987,951994
2065926,1882662
1942029,1091809
2387247,103617
2051552,98008
1943448,951999
1925946,93094
1940221,92551
1925941,92288
2065880,1088176
2392617,92553
2773290,2139115
1946804,95189
1941725,954950
1925949,92459
2070310,92345
1946492,1088987
1925930,1088184
2070305,1088194
1925950,92701
1946796,95125
1925931,93088
1946810,95142
2069010,92195
2068671,92209
1914787,954095
1924218,92595
1933016,96750
1914954,94525
2201959,2683738
2198054,97072
1927023,97128
2260461,99545
1944767,954124
1932977,97620
1912201,98184
1924204,1866136
1925277,105244
2065404,958194
2127651,953300
1933019,104990
1922210,94096
1914970,94529
2077811,1884030
2202221,94817
1926731,95270
1939436,95292
1927599,93693
1927587,954536
1925558,953988
1922216,94214
2053277,1090307
2267474,2682257
2747779,2682258
2274413,2683974
2753711,2682600
2272527,2683966
1923460,1092037
2790713,951939
2198064,2683695
2054128,99692
1931978,95969
1941155,101788
1947177,99463
1939594,105888
2053037,958088
1933034,95948
2683121,92602
1941183,952594
1933454,952739
1915459,95706
1932970,105213
1915628,102306
2068758,93089
2231016,106891
1912198,98184
2051536,97398
1921448,96450
1920186,1089476
1943206,101744
2052525,953928
1915666,98494
2065025,99292
2053706,95908
600254,952830
1923225,1089590
2273889,1091942
1925943,93114
1937836,97116
1915651,97231
2386172,950621
2273824,1091797
2381904,113241
1919742,113842
1935329,950965
2194798,2685672
284521,950706
2103964,113153
2755086,2139116
2194810,2682353
366298,1088646
600210,950822
1940965,111686
2074671,95722
2775075,2143156
2791119,2139914
2273268,93580
2104571,2137853
2070642,1089504
284475,104921
1941771,99496
2052692,101117
1933485,1092009
2052584,101413
1924265,104393
283229,96914
2051298,1090226
1917102,103917
2194607,101550
363055,100468
1925108,100327
